Feature_ID	Taxon	Consensus
04cb11a0ea6be3f77bb2e19534366308	Unassigned	1.0
04ddf810a78b76732e3d50432bcd8ec4	Unassigned	1.0
04e0082707895a3451d4f4892efaba36	Unassigned	1.0
04e8a276e741b03bb87317e12f97f601	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.9
04ed21e3143ffa2892a0bbedd97ff21f	Unassigned	1.0
04ed57b034c04d3b08f692958ca697fc	Unassigned	1.0
04fadf548d3781d9cde25e714742218c	Unassigned	1.0
0502bbefa73a7b9d64c713ae16539693	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.7
0504b17b47871d740a7d6ed8d6c3367f	Unassigned	1.0
0513a81403763ea6a39571f4d5fc2a76	Unassigned	1.0
05194218f4e640af18cd8142083889ac	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae	0.7
0522fb5ab8dd4bced663c6c8ae891473	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__unidentified	0.9
0529253ec0fe02952302f9a83daa05ef	Unassigned	1.0
052f5ed843f211c4a9090392c5ca7d9d	Unassigned	1.0
0530a66e39cf87c09c8b443327d32ad3	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales	1.0
05449f0591676706afc84373c0116021	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales	1.0
0551dbb8c903fef080cb5db2f1c6f3e9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__unidentified	0.625
0556204f611add8010a825bce9cccb45	Unassigned	1.0
056202e911b0116df8a46a54e3a8aa58	Unassigned	1.0
05695373f15c92c0756f493ef5a4a111	Unassigned	1.0
056a52372cd27004de3fe7908a062a02	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	1.0
05715151ff851ebfffb1a4a8be4262cf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.8
057399eb1fadb47ae352fba90afac228	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
058e35df89c9b6024fe354a4e6ebe317	Unassigned	1.0
058f990e20b6484f33fff804bbd5c233	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.9
0592bdcdadce02b0791b92db6a9be853	Unassigned	1.0
059960e5114134e51b8e8c7e6320169e	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	1.0
059b1596ef5f2d2c1e4d81f9db417c30	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.7
05a16b042a75dc3c61881c5d09b358c6	Unassigned	1.0
05a6ec841242efec905f4efe561aa5bc	Unassigned	1.0
05a709c4a082680964711615ecb97f9a	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__unidentified;s__unidentified	1.0
05a887faad9fb7b1869145498d5008cc	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	0.7
05b0f6b00f380a601fdbfae106bf528f	Unassigned	1.0
05b1dbd9372e6856cb191659db007ebc	Unassigned	1.0
05b892900f0b42dd0d428b2ebb894db3	Unassigned	1.0
05ba4c3508ae23d1ca449b17aeb5324e	Unassigned	1.0
05bff8218f3971c5413e60a631c00c60	Unassigned	1.0
05dfe25e69740fc6a571b28aa28e7a36	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__unidentified;g__unidentified;s__unidentified	1.0
05f282ab8676f203e2f978007266a848	Unassigned	1.0
05f88b488ea0e18690a153d01d5694bc	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae	1.0
0603957bebd462b3544f48aed4092538	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.7
06086851dfddd557c6e4674a48104e48	Unassigned	1.0
06089c755bb7c5dab7c207496dd5a347	Unassigned	1.0
060c5b6d52a49564934560489e17faf3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae	0.6
060e4c01542efce6217e7d2c1752ef57	Unassigned	1.0
06113b131a9ecf310a933b2c2799df40	Unassigned	1.0
0619271e4c2050b0481afb035cc1a8c8	Unassigned	1.0
061a5992e4f696091454e947503988cf	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pulvinula;s__unidentified	1.0
0621af1a307186c8dffeebda37468f2d	Unassigned	1.0
062b83477af28fcf2d0c374fd9090b5d	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pulvinula;s__unidentified	1.0
06362b44f0968cd12683e574bddffff7	Unassigned	1.0
0637a0531f06050c9a99ae7e2f78d429	Unassigned	1.0
063a2e208d4c2c938ff583a382ca2eeb	Unassigned	1.0
063bd68b33484cb1be11089372e0eabe	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.7
06414b388806d5385d47cbd6e8aca4c8	Unassigned	1.0
06435f79eb3cd0c306cc117e4b91346c	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__unidentified	0.9
064a60e67acd1e164747f5c11822ac00	Unassigned	1.0
06516d1b52539fb0929e5517c61f34b5	Unassigned	1.0
06586f1ffb5e80fb87fc54659ecbb5d6	Unassigned	1.0
0659980055a614f75fda940d9148b1f8	Unassigned	1.0
065b94ac07db6d26af2bf5649be6f292	Unassigned	1.0
