OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
3bdf7b28248eb3e3f6102926338db1df	Bacteria	Chloroflexi	Gitt-GS-136				
3be68d65cac51e073b2d98e4db0afd32	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured		
3bead05140ecee90ade27fa1833317a8	Bacteria	Chloroflexi	KD4-96				
3bf7e773549a925baf9398a70ae4058a	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
3bf8c5d272440ba2ff4cc2a027cf99ff	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Cryptanaerobacter	
3bfbf928ee217dc04147aa296e85a9e2	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
3c040d7374194ac5f741fd3372fdcbac	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		
3c070c6874a2513e64f24f6ea56a65f1	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium
3c113c11263bee1a2a7813e511a346ce	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	uncultured bacterium
3c173706902acb742bbb4fc53682e753	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	
3c20c67a52b1bfd07d23053ed03f8648	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	uncultured bacterium
3c36d606efe0bbef22e9aa38dda17317	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium
3c3722e933fac01113ac6dd1d2b7ea6a	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	uncultured bacterium
3c3de1e552ab851f2445efe3b32b12c6	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	uncultured bacterium	uncultured bacterium
3c418eb2c07759accb1bf96632a0cb3d	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured bacterium	uncultured bacterium
3c4218800950d911b78a41f30f4056b2	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
3c439a3c8dbe2ef02271b5de65ef82e6	Unassigned						
3c5a93c3f36df2ef74e356412378089c	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured bacterium
3c5be4832731dbf10a566be0eaba87f1	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
3c5c86d4566df3a2b6947f8ae515bf15	Bacteria	Armatimonadetes	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3c6bcc580db30ad75386d0c35c0a9aef	Bacteria	Proteobacteria	Gammaproteobacteria				
3c7833e94020e82d5a7b6dd166c1d52f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	
3c78b61b09c0109f7483fe1195137725	Unassigned						
3c8097552bd947d3008a8f509ce5af5d	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	
3c83934475d1a7c6e67381a1dafb3ff4	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		
3c952e8aebe48eae4e9788afc9f0d4fb	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Herbinix	
3c9a9624583b4703c198fbdf26f750aa	Bacteria	Acidobacteria	Subgroup 6				
3ca08cff84c1aa8c43c91c3ece0c4dc4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured bacterium
3ca8183850fbff2de5247741244936fb	Bacteria	Chloroflexi					
3caee0afafd6185e4af30ad3e3d3da3d	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	
3caf34ccd751fd1ad444be35a79a9260	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	
3cb49f07373dbf6ff735fb29dcd1851c	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae		
3cc2bb697b2648f78a6c4a78586f9679	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured bacterium
3cc3623a0ce7fd7da23e18f9bf9273ec	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
3cc8b0e3ad0979da8be78556046dd1d0	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3ccb8e64136b59369eafc1d7cb5b0617	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
3ccfb2da52c8bd24aaa70d30fab5b02f	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Candidatus Entotheonella	
3cd0aa17a58be7024c8d7f122b0d10c2	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
3cd28b48025e74891024caece22a65ed	Bacteria	Actinobacteria	Thermoleophilia	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium
3cd70bb1e263f167a6d4ae8e6bfa9b93	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Candidatus Solibacter	uncultured bacterium
3cd84e753e62dc214b8898b1af4f987b	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	uncultured	uncultured bacterium	uncultured bacterium
3ce54fd0de1c81e0de77085fb565346a	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae		
3ceb2739d88af54e3c5976163e046ed2	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3cfb1cd3769d790dae9d2d8778307141	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
3cfbed1089006039d517c79ceb39bd51	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales			
3cfe19a486c68cd530837c7ee6f54724	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	uncultured bacterium
3d02cf618fbb041efade7113c61e8282	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium	
3d056d1926a6a8d35361935c6db90009	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	uncultured bacterium
3d16cf5631fe5fd03fefe871990a5665	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
3d1ca595a682264585b2d69299fcf862	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured bacterium	uncultured bacterium
3d244548d5e6a736b254f7821e1f1a78	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
3d268ac577370b554b6bf29d4e1fdea3	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
3d2a39b2c4ab9ff821a91c826ddab85e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured bacterium
3d2c3975772f00a4e9301f0bc83e17e2	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	uncultured bacterium	uncultured bacterium
